Requirement ID,Module,Source (WF / User Req / Cursor / Walkthrough),Description,API Endpoint(s),DB Table(s) / Schema,Audit Event(s),Permission Action,WF-064?,Test ID(s),Spec Section
REQ-ACCT-001,accounting,WF-040 + 10a.1.5.1 + MUST 4.6.2.1,Balanced double-entry on every JE; sum(debit) = sum(credit) trigger-enforced at INSERT/UPDATE/DELETE,n/a (DB trigger),accounting.journal_entries + accounting.journal_entry_lines,accounting.journal_entry_posted (sampled),n/a (DB),no,T-181.2,MUST 4.6.2.1
REQ-ACCT-002,accounting,WF-040 + 10a.1.5.2 + MUST 4.6.2.2,Minimum 2 lines per JE trigger-enforced; INSERT without ≥2 lines aborts,n/a (DB trigger),accounting.journal_entry_lines,accounting.journal_entry_posted,n/a (DB),no,T-181.3,MUST 4.6.2.2
REQ-ACCT-003,accounting,WF-053 + 10a.1.5.5 + MUST 4.6.2.6,Direct INSERT to journal_entries blocked; only via accounting.post() and accounting.create_manual_je() service functions,n/a (DB RLS) + service functions,accounting.journal_entries + accounting.journal_entry_lines,n/a,n/a (DB),no,T-181.7,MUST 4.6.2.6
REQ-ACCT-004,accounting,WF-053 + 10a.1.5.3 + MUST 4.6.2.3,Account lifecycle gate; JE lines reference only active or frozen accounts; draft/archived blocked,POST endpoints + DB trigger,accounting.journal_entry_lines + catalogs.accounts,n/a,n/a,no,T-181.8 + T-181.9,MUST 4.6.2.3 + Part 3.18.5.5
REQ-ACCT-005,accounting,WF-040 + 10a.1.5.4 + MUST 4.6.2.5,Posted JE immutability; UPDATE/DELETE on journal_entry_lines blocked by RLS for ALL roles when parent posted,n/a (DB RLS),accounting.journal_entry_lines,n/a,n/a (DB),no,T-181.6,MUST 4.6.2.5
REQ-ACCT-006,accounting,WF-018 + WF-064 + 10a.1.4 + 10a.1.7.1 Table A row 1,Manual JE creation fires WF-064 with success/blocked symmetry; Owner+Admin+Accountant only; reason ≥30 chars,POST /api/accounting/journal-entries/manual,accounting.journal_entries + accounting.journal_entry_lines,accounting.manual_je_posted/_blocked,accounting.journal_entry.create_manual,yes,T-181.1 + T-181.2 + T-181.3 + T-181.10,10a.1.4
REQ-ACCT-007,accounting,WF-039 + WF-064 + 10a.1.4 + 10a.1.7.1 Table A row 2,JE void by Owner creates reversing JE atomically per MUST 4.6.2.4; emits journal_entry_voided + reversing_je_created,POST /api/accounting/journal-entries/{uuid}/void,accounting.journal_entries (both original + reversing),accounting.journal_entry_voided/_blocked + accounting.reversing_je_created,accounting.journal_entry.void,yes,T-181.4 + T-181.5,10a.1.4 + MUST 4.6.2.4
REQ-ACCT-008,accounting,WF-009 + WF-064 + 10a.1.7.1 Table A row 3,Bill void after payment fires WF-064; Owner only when paid_amount > 0; clean void allowed for Owner+Admin+Accountant,POST /api/accounting/bills/{uuid}/void,accounting.bills + accounting.journal_entries (reversing),accounting.bill_voided_after_payment/_blocked + accounting.bill_voided (clean),accounting.bill.void.after_payment + accounting.bill.void,yes (after_payment) / no (clean),T-182.1 + T-182.2 + T-182.5 + T-182.7 + T-182.8,10a.1.4
REQ-ACCT-009,accounting,WF-009 + WF-064 + 10a.1.7.1 Table A row 4,Expense void after payment fires WF-064 with success/blocked symmetry,POST /api/accounting/expenses/{uuid}/void,accounting.expenses,accounting.expense_voided_after_payment/_blocked + accounting.expense_voided,accounting.expense.void.after_payment,yes,T-182.3 + T-182.4 + T-182.6,10a.1.7.1
REQ-ACCT-010,accounting,WF-010 + WF-064 + 10a.1.4 + 10a.1.7.1 Table A row 5,Invoice void after payment OR factoring-assigned fires WF-064; Owner only; acknowledge flags required,POST /api/accounting/invoices/{uuid}/void,accounting.invoices + accounting.journal_entries (reversing),accounting.invoice_voided_after_payment_or_factoring/_blocked + accounting.invoice_voided (clean),accounting.invoice.void.after_payment_or_factoring,yes,T-183.1 + T-183.2 + T-183.3 + T-183.4 + T-183.5,10a.1.4
REQ-ACCT-011,accounting,WF-023 + WF-064 + 10a.1.7.1 Table A row 6,Bill payment reverse unwinds open_balance via reversing JE; Owner only; emits bill_payment_reversed warning + WF-064,POST /api/accounting/bill-payments/{uuid}/reverse,accounting.bill_payments + accounting.bills + accounting.journal_entries (reversing),accounting.bill_payment_reversed/_blocked,accounting.bill_payment.reverse,yes,T-184.1 + T-184.2,10a.1.7.1
REQ-ACCT-012,accounting,WF-021 + WF-064 + 10a.1.7.1 Table A row 7,Customer payment reverse unwinds invoice open_balance via reversing JE; Owner only,POST /api/accounting/customer-payments/{uuid}/reverse,accounting.customer_payments + accounting.invoices + accounting.journal_entries (reversing),accounting.customer_payment_reversed/_blocked,accounting.customer_payment.reverse,yes,T-185.1 + T-185.2,10a.1.7.1
REQ-ACCT-013,accounting,WF-021 + WF-064 + 10a.1.7.1 Table A row 8,Factoring assignment reverse touches Apex relationship; Owner only; out-of-band Apex notification noted in audit,POST /api/accounting/factoring-assignments/{uuid}/reverse,accounting.invoices (factoring metadata) + accounting.journal_entries (reversing),accounting.factoring_assignment_reversed/_blocked,accounting.factoring_assignment.reverse,yes,T-185.3 + T-185.4,10a.1.7.1
REQ-ACCT-014,accounting,WF-008 + WF-064 + 10a.1.4 + 10a.1.7.1 Table A row 9,Period close fires WF-064; Owner only; pre-close checks for draft JEs + unresolved findings + pending QBO sync,POST /api/accounting/periods/{period_label}/close,accounting.* (period state on period_label dimension),accounting.period_closed/_blocked,accounting.period.close,yes,T-186.1 + T-186.2 + T-186.3 + T-186.7,10a.1.4
REQ-ACCT-015,accounting,WF-008 + WF-064 + 10a.1.4 + 10a.1.7.1 Table A row 10,Period reopen is critical-severity WF-064; Owner only; SMS to Owner+Admin per Part 5.5.4.2 exception,POST /api/accounting/periods/{period_label}/reopen,accounting.* (period state),accounting.period_reopened/_blocked,accounting.period.reopen,yes,T-186.4 + T-186.5,10a.1.4 + 10a.1.8.1
REQ-ACCT-016,accounting,WF-038 + 10a.1.4,Reconciliation finding resolution via corrected_via_je / accepted_as_drift / false_positive; resolution does not modify source rows,POST /api/accounting/reconciliation-findings/{uuid}/resolve,accounting.reconciliation_findings,accounting.reconciliation_finding_resolved + accounting.reconciliation_finding_detected,accounting.reconciliation_finding.resolve,no,T-187.1 + T-187.2 + T-187.3 + T-187.4 + T-187.5,10a.1.4 + 10a.1.5.16
REQ-ACCT-017,accounting,WF-022 + WF-064 + 10a.1.7.1 row 11,QBO force resync is Owner-only WF-064; queue-aware to prevent concurrent runs,POST /api/accounting/qbo-resync/force,outbox.queue + accounting.* (sync metadata),accounting.qbo_force_resynced/_blocked + accounting.qbo_sync_failed (escalation),accounting.qbo_resync.force,yes,T-188.1 + T-188.2 + T-188.3 + T-188.4 + T-188.5,10a.1.7.1
REQ-ACCT-018,accounting,WF-022 + 10a.1.5.14 + Part 3.12.4.8,Outbox QBO mirror auto-queues every JE/bill/invoice/payment; QBO failure does not block local writes; retry-with-escalation pattern,n/a (background processor),outbox.queue,outbox.queued events + accounting.qbo_sync_failed (after retries),n/a,no,T-188.4 + T-188.5,Part 3.12.4.8
REQ-ACCT-019,accounting,10a.1.5.7 + MUST 4.6.2.7,Bill + invoice open_balance auto-maintained via trigger from payment_lines aggregates; direct UPDATE blocked,n/a (DB trigger),accounting.bills + accounting.invoices,n/a,n/a (DB),no,T-184.3 + T-184.5,MUST 4.6.2.7
REQ-ACCT-020,accounting,WF-024 + MUST 4.6.3.1 + 10a.1.7.2.1,Drivers MUST NOT SELECT from any accounting table; financial visibility via driver_finance + views.driver_debt_summary only,API endpoints (driver caller),accounting.* tables,n/a (RLS denies),n/a (RBAC),no,T-180.10,MUST 4.6.3.1
REQ-ACCT-021,accounting,WF-024 + MUST 4.6.3.2,Office role RLS scope: Owner/Admin/Manager/Accountant SELECT all; Dispatcher SELECTs load-linked; Safety SELECTs incident-linked,API endpoints (RLS-scoped),accounting.* tables,n/a,accounting.{action} per role,no,T-180.1 + T-180.4 + T-180.6 + T-180.8,MUST 4.6.3.2
REQ-ACCT-022,accounting,10a.1.7.3 Profile Mapping,Contract Profile Mapping for 30 of 30 permission actions; 7 FULL + 9 Profile A + 7 Profile B + 5 Profile C + 2 service-only,GET/POST endpoints per profile,accounting.* tables,accounting.{action} (sampled where info),accounting.{action} per profile,no/yes per profile,T-189.5 + T-189.6 + T-189.7,10a.1.7.3
REQ-ACCT-023,accounting,WF-064 + 10a.1.7.1,All 11 originated WF-064 actions display lightning-bolt + 2-step modal + success/blocked symmetric pairs; 0 inherited (cleanest count clarity in spec),UI rendering + audit verification,accounting.* tables,accounting.{action}_executed/_blocked pairs,n/a (UI/audit),yes,T-189.1 + T-189.2 + T-189.3 + T-189.4,10a.1.7.1
REQ-BANK-001,banking,WF-033 + 10b.1.5.1 + MUST 4.7.2.1,Bank account links to catalogs.accounts of valid type (bank/credit_card/other_current_asset); FK + check enforced,POST /api/banking/bank-accounts (create) + DB FK,banking.bank_accounts + catalogs.accounts,banking.bank_account_created,banking.bank_account.create,no,T-190.5,MUST 4.7.2.1
REQ-BANK-002,banking,WF-012 + 10b.1.5.2 + MUST 4.7.2.2,Bank transaction categorization sets exactly one linked_*_uuid column; trigger-enforced,POST /api/banking/bank-transactions/{uuid}/categorize + DB trigger,banking.bank_transactions,banking.bank_transaction_categorized,banking.bank_transaction.categorize,no,T-192.10,MUST 4.7.2.2
REQ-BANK-003,banking,WF-032 + 10b.1.5.3 + MUST 4.7.2.3,Account number + routing number encrypted at app layer before INSERT; DB never sees plaintext; encryption key in env,POST /api/banking/bank-accounts (create with encryption),banking.bank_accounts (encrypted columns),banking.bank_account_pii_decrypted (on read),banking.bank_account.read.decrypt_pii,no,T-190.6 + T-190.4,MUST 4.7.2.3
REQ-BANK-004,banking,WF-024 + MUST 4.7.3.1 + 10b.1.7.2.1,Drivers + Dispatcher + Safety + Mechanic MUST NOT SELECT from banking tables; Manager SELECT only; Owner+Admin+Accountant full,API endpoints (RLS-scoped),banking.* tables,n/a (RLS denies),banking.{action} per role,no,T-190.1 + T-190.8,MUST 4.7.3.1
REQ-BANK-005,banking,WF-032 + MUST 4.7.3.2 + 10b.1.5.12,Encrypted PII columns SELECT restricted to Owner+Admin only; other roles get NULL; decrypt-pii endpoint emits audit event per access,GET /api/banking/bank-accounts/{uuid}/decrypt-pii,banking.bank_accounts (encrypted columns),banking.bank_account_pii_decrypted (warning audit),banking.bank_account.read.decrypt_pii,no,T-190.3 + T-190.4,MUST 4.7.3.2
REQ-BANK-006,banking,WF-033 + WF-064 + 10b.1.4 + 10b.1.7.1 Table A row 1,Bank account deactivate fires WF-064; Owner only; non-zero balance blocks deactivation; success/blocked symmetry,POST /api/banking/bank-accounts/{uuid}/deactivate,banking.bank_accounts,banking.bank_account_deactivated/_blocked,banking.bank_account.deactivate,yes,T-191.1 + T-191.2 + T-191.3 + T-191.4 + T-191.5,10b.1.4
REQ-BANK-007,banking,WF-012 + 10b.1.4 + 10b.1.5.4,Routine bank transaction categorization for open-period targets; closed-period targets blocked; routes to recategorize-closed-period (WF-064),POST /api/banking/bank-transactions/{uuid}/categorize,banking.bank_transactions,banking.bank_transaction_categorized,banking.bank_transaction.categorize,no,T-192.7 + T-192.8 + T-192.9,10b.1.4
REQ-BANK-008,banking,WF-013 + WF-064 + 10b.1.4 + 10b.1.7.1 Table A row 2,Bank transaction recategorize-closed-period fires WF-064; Owner only; touches closed-period audit chain,POST /api/banking/bank-transactions/{uuid}/recategorize-closed-period,banking.bank_transactions,banking.bank_transaction_recategorized_closed_period/_blocked,banking.bank_transaction.recategorize_after_period_close,yes,T-192.5 + T-192.6 + T-192.12,10b.1.4
REQ-BANK-009,banking,WF-052 + WF-064 + 10b.1.4 + 10b.1.7.1 Table A row 3,Bank transaction delete fires WF-064; Owner only; soft-delete preserves audit; closed-period reconciliation lock blocks deletion,DELETE /api/banking/bank-transactions/{uuid},banking.bank_transactions (deleted_at),banking.bank_transaction_deleted/_blocked,banking.bank_transaction.delete,yes,T-193.1 + T-193.2 + T-193.3 + T-193.4,10b.1.4
REQ-BANK-010,banking,WF-031 + WF-064 + 10b.1.4 + 10b.1.7.1 Table A row 4,Factoring transaction reverse fires WF-064; Owner only; coordinated with accounting.factoring_assignment.reverse but separate Owner action; Apex notified out-of-band,POST /api/banking/factoring-transactions/{uuid}/reverse,banking.factoring_transactions + accounting.invoices (factoring),banking.factoring_transaction_reversed/_blocked,banking.factoring_transaction.reverse,yes,T-194.1 + T-194.2 + T-194.9,10b.1.4
REQ-BANK-011,banking,WF-031 + 10b.1.5.9 + Part 4.7.2,Factoring transaction append-only; UPDATE blocked by RLS; reversals are NEW rows referencing original via reverses_factoring_transaction_uuid,n/a (DB RLS),banking.factoring_transactions,banking.factoring_transaction_created,n/a (DB),no,T-194.8,Part 4.7.2
REQ-BANK-012,banking,WF-013 + 10b.1.2.4 + 10b.1.4,Reconciliation runs match bank_transactions to accounting payments/JEs; daily job emits findings filtered to banking-relevant rows,POST /api/banking/reconciliation-runs,banking.* + accounting.reconciliation_findings,banking.reconciliation_run_started + .completed (drift-severity routed),banking.reconciliation_run.start,no,T-194.5 + T-194.6 + T-194.7,10b.1.4
REQ-BANK-013,banking,10b.1.5.10 + 10a.1.5.5,Banking-originated postings (bank fees/interest) call accounting.post() service function; Banking does not directly write to accounting.journal_entries,banking service functions → accounting.post(),banking.* + accounting.journal_entries (via service),accounting.journal_entry_posted (sampled),n/a (service-call pattern),no,(covered by Part 10a tests),10b.1.5.10
REQ-BANK-014,banking,10b.1.7.3 Profile Mapping,Contract Profile Mapping for 20 of 20 permission actions; 5 FULL + 7 Profile A + 6 Profile B + 1 Profile C + 1 service-only,GET/POST/PATCH/DELETE endpoints per profile,banking.* tables,banking.{action} per profile,banking.{action} per profile,no/yes per profile,T-194.13 + T-194.14 + T-194.15,10b.1.7.3
REQ-BANK-015,banking,WF-064 + 10b.1.7.1 + 10b.1.9.2,All 4 originated Banking WF-064 actions display lightning-bolt + 2-step modal + success/blocked symmetric audit pairs; 0 inherited (clean count clarity continuing Part 10a precedent),UI rendering + audit verification,banking.* tables,banking.{action}_executed/_blocked pairs,n/a (UI/audit),yes,T-194.10 + T-194.11 + T-194.12,10b.1.7.1
REQ-DOC-001,documents,WF-025 + 11.1.5.1 + MUST 3.17.2.1,Direct INSERT to documents.evidence_records blocked by RLS for ALL roles; only documents.create_evidence() service function can write,n/a (DB RLS),documents.evidence_records,documents.evidence_created (info sampled),documents.evidence.create (service-only),no,T-195.7,11.1.5.1
REQ-DOC-002,documents,WF-025 + WF-030 + 11.1.5.2 + MUST 3.17.2.3,payload_sha256_hash computed server-side from payload bytes BEFORE storage; client-supplied hash ignored; tamper detection on retrieval,documents.create_evidence() + GET /api/documents/evidence/{uuid},documents.evidence_records,documents.evidence_tampered_detected (critical + WF-064 on mismatch),n/a (server-side),yes (on tamper),T-195.8 + T-198.1 + T-198.2 + T-198.3,11.1.5.2 + 11.1.5.4
REQ-DOC-003,documents,WF-025 + 11.1.5.3 + MUST 3.17.2.2,server_received_at is canonical event time for legal/audit; captured_at (device claimed) NEVER used for legal purposes,documents.create_evidence() + retrieval,documents.evidence_records,n/a (server-attribute),n/a (DB attribute),no,T-195.9,11.1.5.3
REQ-DOC-004,documents,WF-025 + 11.1.5.5 + MUST 3.17.7.3,Retrieval requires X-Retrieval-Purpose header (audit/legal/routine_view/dispute/support); writes row to documents.evidence_access_log,GET /api/documents/evidence/{uuid},documents.evidence_records + documents.evidence_access_log,documents.evidence_retrieved (info sampled at 10%),documents.evidence.read,no,T-195.3 + T-195.4 + T-195.5 + T-195.6,11.1.5.5
REQ-DOC-005,documents,WF-028 + WF-064 + 11.1.4 + 11.1.7.1 Table A row 1,Legal hold set fires WF-064 critical; Owner+Admin only; reason ≥30 chars; affects retention + purge cron,POST /api/documents/evidence/{uuid}/legal-hold,documents.evidence_records (legal_hold flag),documents.legal_hold_set/_blocked,documents.legal_hold.set,yes,T-196.1 + T-196.2 + T-196.5,11.1.4
REQ-DOC-006,documents,WF-028 + WF-064 + 11.1.4 + 11.1.7.1 Table A row 2,Legal hold release fires WF-064 critical; Owner+Admin only; reason ≥30 chars; restores normal retention rules,DELETE /api/documents/evidence/{uuid}/legal-hold,documents.evidence_records (legal_hold flag),documents.legal_hold_released/_blocked,documents.legal_hold.release,yes,T-196.3 + T-196.4 + T-196.6,11.1.4
REQ-DOC-007,documents,WF-029 + WF-064 + 11.1.4 + 11.1.7.1 Table A row 3,Force-purge fires WF-064; Owner only; legal hold blocks purge; logs to evidence_purge_log; queues R2 delete outbox,POST /api/documents/evidence/{uuid}/force-purge,documents.evidence_records + documents.evidence_purge_log + outbox.queue,documents.evidence_purged (force)/_blocked,documents.evidence.force_purge,yes,T-197.1 + T-197.2 + T-197.3 + T-197.4 + T-197.5 + T-197.6,11.1.4
REQ-DOC-008,documents,WF-030 + WF-064 + 11.1.4 + 11.1.7.1 Table A row 4,Tamper detection auto-fires on sha256 mismatch during retrieval; only WF-064 originated event without symmetric blocked variant (auto-detection not user action); SMS-allowed per 5.5.4.2,GET /api/documents/evidence/{uuid} (auto-trigger),documents.evidence_records,documents.evidence_tampered_detected (critical + WF-064 + SMS),n/a (auto),yes (no symmetric blocked),T-198.1 + T-198.2 + T-198.3,11.1.7.1 note + 11.1.9.2
REQ-DOC-009,documents,WF-024 + 11.1.7.2 + MUST 3.18.12,Driver SELECT scope on evidence: own driver_uuid only via RLS; cannot SELECT access_log/purge_log; purpose limited to routine_view,API endpoints (RLS-scoped),documents.evidence_records,n/a (RLS denies),documents.evidence.list/read (driver scope),no,T-195.1 + T-195.6 + T-200.3,11.1.7.2.1
REQ-DOC-010,documents,11.1.7.3 Profile Mapping,Contract Profile Mapping for 10 of 10 permission actions; 4 FULL + 3 Profile A + 2 Profile B + 0 Profile C + 1 service-only,GET/POST/DELETE endpoints per profile,documents.* tables,documents.{action} per profile,documents.{action} per profile,no/yes per profile,T-201.3 + T-201.4,11.1.7.3
REQ-NOTIF-001,notifications,WF-042 + WF-043 + MUST 4.9.3.3,Dispatcher worker fires on PG NOTIFY from audit_events when fires_wf_064=true; routes to all configured recipients; downstream of source audits not WF-064 inheritance,internal worker,notifications.notification_log,notifications.notification_dispatched (info sampled),notifications.dispatch_event (service-only),no (downstream of source WF-064),T-207.1 + T-207.2,MUST 4.9.3.3 + 11.2.7.1 Table B
REQ-NOTIF-002,notifications,WF-064 + WF-064.3 + WF-047 + 11.2.4 + 11.2.7.1 Table A row 1,Suppression rule create fires WF-064; Owner only; max 7-day window per Part 4.9.2 CHECK constraint; reason ≥30 chars; the WF-064.3 integrity defense,POST /api/notifications/suppression-rules,notifications.suppression_rules,notifications.suppression_rule_created/_blocked,notifications.suppression_rule.create,yes,T-204.1 + T-204.2 + T-204.6 + T-204.7 + T-204.8 + T-207.4,11.2.4
REQ-NOTIF-003,notifications,WF-064 + WF-047 + 11.2.7.1 Table A row 2,Suppression rule cancel (early termination) fires WF-064; Owner only; restores notifications,DELETE /api/notifications/suppression-rules/{uuid},notifications.suppression_rules,notifications.suppression_rule_cancelled/_blocked,notifications.suppression_rule.cancel,yes,T-204.3 + T-204.4,11.2.7.1
REQ-NOTIF-004,notifications,WF-064 + WF-045 + 11.2.4 + 11.2.7.1 Table A row 3,Bulk preference update fires WF-064; Owner only; affects org-wide notification routing; filter required to prevent accidental org-wide updates,POST /api/notifications/preferences/bulk-update,notifications.preferences,notifications.preference_bulk_updated/_blocked,notifications.preference.bulk_update,yes,T-205.1 + T-205.2 + T-205.3,11.2.4
REQ-NOTIF-005,notifications,WF-045 + WF-064 + 11.2.5.5,Critical+WF-064 events bypass user preferences for Owner+Admin; cannot be disabled via preferences UI; only suppression rules with audit trail can suppress,PATCH /api/notifications/preferences,notifications.preferences,notifications.preference_set (info sampled),notifications.preferences.update,no,T-202.2 + T-202.3 + T-207.2,11.2.5.5
REQ-NOTIF-006,notifications,WF-048 + 11.2.5.8,Provider failover canonical: email Resend→SES; SMS Twilio (no fallback v1); PWA push Expo (no fallback v1); first-success wins; permanent errors skip fallback,internal worker,notifications.notification_log (delivery_provider field),notifications.delivery_provider_failed (info to critical per consecutive count),n/a (worker),no,T-208.1 + T-208.2 + T-208.3,11.2.5.8
REQ-NOTIF-007,notifications,WF-051 + 11.2.5.7,Bounce handling: 3+ consecutive bounces in 24h auto-disables that channel for that user; manual re-enable required by Owner+Admin,internal worker + manual reenable endpoint,notifications.preferences (enabled flag) + notifications.notification_log,notifications.channel_auto_disabled (warning) + notifications.channel_reenabled (info),notifications.delivery_failure.reenable_channel,no,T-206.1 + T-206.2 + T-206.3,11.2.5.7
REQ-NOTIF-008,notifications,WF-042 + 11.2.5.6,Notification log append-only: dispatch fields UPDATE only via service function; DELETE blocked entirely; direct INSERT via API blocked,n/a (DB RLS),notifications.notification_log,n/a (DB constraint),notifications.dispatch_event (service-only),no,T-209.1 + T-209.2 + T-209.3,11.2.5.6
REQ-NOTIF-009,notifications,11.2.7.3 Profile Mapping,Contract Profile Mapping for 12 of 12 permission actions; 2 FULL + 6 Profile A + 2 Profile B + 1 Profile C + 1 service-only,GET/POST/PATCH/DELETE endpoints per profile,notifications.* tables,notifications.{action} per profile,notifications.{action} per profile,no/yes per profile,T-209.4 + T-209.5,11.2.7.3
REQ-NOTIF-010,notifications,WF-064 + 11.2.7.1 Table B,Inherited WF-064 count is 0; Notifications dispatcher routing is downstream of originating module audits not WF-064 inheritance; same precedent as Banking and Documents,n/a,n/a,n/a,n/a,no (clarification only),T-209.5,11.2.7.1
